순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
1,069500,KODEX 200,K Market,1X,113145.0,20168647,2275377000000.0,6.37,0.93,5.95,-17.93,40.55,153.0,254.96
2,102110,TIGER 200,K Market,1X,113360.0,15602772,1764630000000.0,6.34,0.85,6.0,-17.88,40.66,153.75,256.31
3,122630,KODEX 레버리지,K Market,2X,116975.0,11452818,1335872000000.0,12.93,1.21,10.82,-42.2,51.32,332.52,608.51
4,133690,TIGER 미국나스닥100,K Market,1X,184985.0,5613942,1032745000000.0,5.12,5.71,3.33,-8.15,16.37,26.44,111.34
5,360750,TIGER 미국S&P500,K Market,1X,26200.0,27225020,709676000000.0,1.55,2.91,-0.59,-7.01,8.09,17.65,83.31
6,379810,KODEX 미국나스닥100,K Market,1X,27665.0,22981525,632070000000.0,5.19,5.73,3.36,-8.12,16.44,26.6,112.24
7,459580,KODEX CD금리액티브(합성),K Market,1X,1075795.0,503244,541385000000.0,0.09,0.15,0.27,0.76,1.48,2.94,10.16
8,114800,KODEX 인버스,K Market,-1X,966.0,554573434,537366000000.0,-6.12,-1.23,-6.4,5.92,-43.64,-71.03,-78.86
9,379800,KODEX 미국S&P500,K Market,1X,23810.0,20844085,493770000000.0,1.51,2.9,-0.61,-7.04,8.06,17.68,83.61
10,233740,KODEX 코스닥150레버리지,K Market,2X,6980.0,45069882,311457000000.0,5.36,0.22,-3.32,-33.96,-55.18,-26.22,-44.69
11,494310,KODEX 반도체레버리지,K Market,2X,93440.0,3287715,301406000000.0,20.72,6.79,24.77,-45.67,42.66,582.79,
12,396500,TIGER 반도체TOP10,K Market,1X,39395.0,6832752,267730000000.0,9.74,3.32,12.22,-22.45,21.48,214.81,343.94
13,229200,KODEX 코스닥150,K Market,1X,14150.0,18504283,260176000000.0,2.72,0.21,-1.05,-13.24,-25.57,2.13,-0.6
14,0167A0,SOL AI반도체TOP2플러스,K Market,1X,19145.0,13515494,256756000000.0,11.37,5.22,10.86,-26.41,91.74,,
15,252670,KODEX 200선물인버스2X,K Market,-2X,67.0,2147483647,251045000000.0,-12.99,-4.29,-14.1,-5.63,-76.33,-94.38,-97.41
16,091160,KODEX 반도체,K Market,1X,140400.0,1695607,236274000000.0,9.95,3.54,12.4,-18.11,43.99,246.71,343.01
17,488080,TIGER 반도체TOP10레버리지,K Market,2X,40000.0,5435679,214069000000.0,20.81,6.34,23.82,-51.51,-0.84,441.49,
18,0193T0,KODEX SK하이닉스단일종목레버리지,K Market,2X,11865.0,16537301,196117000000.0,11.04,-1.12,17.65,-64.27,,,
19,395160,KODEX AI반도체TOP2플러스,K Market,1X,43035.0,3920849,168028000000.0,10.59,4.01,10.74,-25.22,60.49,274.22,402.8
20,232080,TIGER 코스닥150,K Market,1X,14390.0,8835731,126430000000.0,2.71,0.07,-1.4,-13.29,-26.02,1.48,-1.85
21,475630,TIGER CD1년금리액티브(합성),K Market,1X,1078425.0,115487,124543000000.0,0.1,0.17,0.29,0.82,1.56,3.04,
22,0195S0,TIGER SK하이닉스단일종목레버리지,K Market,2X,10095.0,10946809,110127000000.0,11.55,-0.79,18.97,-64.28,,,
23,0193W0,KODEX 삼성전자단일종목레버리지,K Market,2X,13950.0,7938356,109561000000.0,25.68,10.28,19.74,-44.83,,,
